"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Remove-AzureADDomain","AzureAD","Remove-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","DELETE /domains/{domain-id}","True","False"
"Set-MsolAdministrativeUnit","MSOnline","Update-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","PATCH /directory/administrativeUnits/{administrativeUnit-id}","True","False"
"New-AzureADMSPermissionGrantPolicy","AzureAD","New-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","POST /policies/permissionGrantPolicies","True","False"
"Remove-MsolScopedRoleMember","MSOnline","Remove-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","","DELETE /directoryRoles/{directoryRole-id}/scopedMembers/{scopedRoleMembership-id}","True","False"
"New-MsolWellKnownGroup","MSOnline","","","","","False","False"
"Get-AzureADUserOwnedDevice","AzureAD","Get-MgUserOwnedDevice","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read;User.Read.All;User.ReadWrite.All","GET /users/{user-id}/ownedDevices","True","False"
"Set-MsolDomainFederationSettings","MSOnline","New-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains/{domain-id}/federationConfiguration","True","False"
"Get-MsolHasObjectsWithDirSyncProvisioningErrors","MSOnline","","","","","False","False"
"Set-MsolDirSyncFeature","MSOnline","","","","","False","False"
"Remove-AzureADGroupOwner","AzureAD","Remove-MgGroupOwnerByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","DELETE /groups/{group-id}/owners/{directoryObject-id}/$ref","True","False"
"Set-MsolCompanyMultiNationalEnabled","MSOnline","","","","","False","False"
"Add-AzureADDeviceRegisteredUser","AzureAD","New-MgDeviceRegisteredUserByRef","","","","False","False"
"Get-AzureADMSAdministrativeUnit","AzureAD","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All;AdministrativeUnit.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /directory/administrativeUnits","True","False"
"Get-AzureADUserCreatedObject","AzureAD","Get-MgUserCreatedObject","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read;User.Read.All;User.ReadWrite;User.ReadWrite.All","GET /users/{user-id}/createdObjects","True","False"
"Get-AzureADServicePrincipalOwner","AzureAD","Get-MgServicePrincipalOwner","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/owners","True","False"
"Select-AzureADGroupIdsGroupIsMemberOf","AzureAD","Get-MgGroupMemberOf","Microsoft.Graph.Groups","Directory.Read.All;Directory.ReadWrite.All;Group.Read.All;GroupMember.Read.All","GET /groups/{group-id}/memberOf","True","False"
"Remove-MsolFederatedDomain","MSOnline","","","","","False","False"
"Get-AzureADDevice","AzureAD","Get-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All;Directory.ReadWrite.All","GET /devices","True","False"
"Remove-AzureADServicePrincipal","AzureAD","Remove-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","DELETE /servicePrincipals/{servicePrincipal-id}","True","False"
"Get-MsolAccountSku","MSOnline","Get-MgSubscribedSku","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;Organization.Read.All;Organization.ReadWrite.All","GET /subscribedSkus","True","False"
"Get-AzureADApplicationProxyConnectorGroup","AzureAD","","","","","False","False"
"Remove-AzureADApplicationPasswordCredential","AzureAD","Remove-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/removePassword","True","False"
"New-AzureADMSConditionalAccessPolicy","AzureAD","New-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Application.Read.All;Policy.Read.All;Policy.ReadWrite.ConditionalAccess","POST /identity/conditionalAccess/policies","True","False"
"Set-AzureADApplicationProxyApplicationSingleSignOn","AzureAD","","","","","False","False"
"Get-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","Get-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Application.Read.All;Directory.Read.All","GET /servicePrincipals/{servicePrincipal-id}/delegatedPermissionClassifications","True","False"
"Add-AzureADDeviceRegisteredOwner","AzureAD","New-MgDeviceRegisteredOwnerByRef","Microsoft.Graph.Identity.DirectoryManagement","Directory.AccessAsUser.All","POST /devices/{device-id}/registeredOwners/$ref","True","False"
"Select-AzureADGroupIdsServicePrincipalIsMemberOf","AzureAD","Get-MgServicePrincipalMemberOf","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/memberOf","True","False"
"Remove-AzureADDeletedApplication","AzureAD","Remove-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","Application.ReadWrite.All;Directory.ReadWrite.All;Group.ReadWrite.All;User.ReadWrite.All","DELETE /directory/deletedItems/{directoryObject-id}","True","False"
"Remove-AzureADUser","AzureAD","Remove-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All;DeviceManagementConfiguration.ReadWrite.All;DeviceManagementManagedDevices.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;User.ReadWrite.All","DELETE /users/{user-id}","True","False"
"Get-AzureADMSConditionalAccessPolicy","AzureAD","Get-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All","GET /identity/conditionalAccess/policies","True","False"
"Set-MsolDirSyncConfiguration","MSOnline","","","","","False","False"
"Get-MsolDirSyncFeatures","MSOnline","","","","","False","False"
"New-AzureADApplicationProxyConnectorGroup","AzureAD","","","","","False","False"
"Set-AzureADMSApplicationLogo","AzureAD","Set-MgApplicationLogo","Microsoft.Graph.Applications","Application.ReadWrite.All","PUT /applications/{application-id}/logo","True","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications","True","False"
"Get-AzureADGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Directory.Read.All;Directory.ReadWrite.All;Group.Read.All;Group.ReadWrite.All;GroupMember.Read.All","GET /groups","True","False"
"Remove-AzureADMSAdministrativeUnit","AzureAD","Remove-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","DELETE /directory/administrativeUnits/{administrativeUnit-id}","True","False"
"Get-MsolPartnerContract","MSOnline","Get-MgContract","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All","GET /contracts","True","False"
"Get-AzureADMSGroupPermissionGrant","AzureAD","Get-MgGroupPermissionGrant","Microsoft.Graph.Groups","Group.Read.All;Group.ReadWrite.All;GroupMember.Read.All;GroupMember.ReadWrite.All","GET /groups/{group-id}/permissionGrants","True","False"
"Get-AzureADUserOwnedObject","AzureAD","Get-MgUserOwnedObject","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read;User.Read.All;User.ReadWrite.All","GET /users/{user-id}/ownedObjects","True","False"
"Set-AzureADMSGroupLifecyclePolicy","AzureAD","Update-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","PATCH /groupLifecyclePolicies/{groupLifecyclePolicy-id}","True","False"
"Get-AzureADServiceAppRoleAssignment","AzureAD","Get-MgServicePrincipalAppRoleAssignment","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/appRoleAssignments","True","False"
"Set-AzureADUserLicense","AzureAD","Set-MgUserLicense","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All;User.ReadWrite.All","POST /users/{user-id}/assignLicense","True","False"
"Add-MsolAdministrativeUnitMember","MSOnline","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","","POST /directory/administrativeUnits/{administrativeUnit-id}/members/$ref","True","False"
"New-MsolAdministrativeUnit","MSOnline","New-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","POST /directory/administrativeUnits","True","False"
"Get-AzureADApplicationProxyConnectorGroupMembers","AzureAD","","","","","False","False"
"Remove-AzureADServicePrincipalPasswordCredential","AzureAD","Remove-MgServicePrincipalPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /servicePrincipals/{servicePrincipal-id}/removePassword","True","False"
"Remove-AzureADMSIdentityProvider","AzureAD","Remove-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.ReadWrite.All","DELETE /identity/identityProviders/{identityProviderBase-id}","True","False"
"Get-AzureADDomain","AzureAD","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Domain.Read.All;Domain.ReadWrite.All","GET /domains","True","False"
"Get-AzureADUserAppRoleAssignment","AzureAD","Get-MgUserAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All;Directory.Read.All;User.ReadBasic.All","GET /users/{user-id}/appRoleAssignments","True","False"
"Select-AzureADGroupIdsContactIsMemberOf","AzureAD","Get-MgContactMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All","GET /contacts/{orgContact-id}/memberOf","True","False"
"Get-AzureADMSPermissionGrantPolicy","AzureAD","Get-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.PermissionGrant;Policy.ReadWrite.PermissionGrant","GET /policies/permissionGrantPolicies","True","False"
"Get-AzureADApplicationProxyApplication","AzureAD","","","","","False","False"
"Set-AzureADUserManager","AzureAD","Set-MgUserManagerByRef","Microsoft.Graph.Users","Directory.ReadWrite.All;User.ReadWrite.All","PUT /users/{user-id}/manager/$ref","True","False"
"Enable-MsolDevice","MSOnline","Update-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Directory.AccessAsUser.All","PATCH /devices/{device-id}","True","False"
"Get-AzureADUserLicenseDetail","AzureAD","Get-MgUserLicenseDetail","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read;User.Read.All;User.ReadWrite.All","GET /users/{user-id}/licenseDetails","True","False"
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","Microsoft.Graph.Identity.SignIns","Directory.ReadWrite.All;User.Invite.All;User.ReadWrite.All","POST /invitations","True","False"
"Get-AzureADMSDeletedDirectoryObject","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","","GET /directory/deletedItems","True","False"
"Get-MsolCompanyAllowedDataLocation","MSOnline","","","","","False","False"
"New-AzureADUser","AzureAD","New-MgUser","Microsoft.Graph.Users","Directory.ReadWrite.All;User.ReadWrite.All","POST /users","True","False"
"Get-AzureADServicePrincipalOAuth2PermissionGrant","AzureAD","Get-MgServicePrincipalOauth2PermissionGrant","Microsoft.Graph.Applications","DelegatedPermissionGrant.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/oauth2PermissionGrants","True","False"
"New-AzureADMSApplicationPassword","AzureAD","Add-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/addPassword","True","False"
"Get-MsolRole","MSOnline","Get-MgDirectoryRole","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /directoryRoles","True","False"
"New-MsolServicePrincipalCredential","MSOnline","Add-MgServicePrincipalKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /servicePrincipals/{servicePrincipal-id}/addKey","True","False"
"Remove-AzureADDirectoryRoleMember","AzureAD","Remove-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","","DELETE /directoryRoles/{directoryRole-id}/scopedMembers/{scopedRoleMembership-id}","True","False"
"Get-AzureADServicePrincipalPasswordCredential","AzureAD","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals","True","False"
"Get-AzureADDeviceConfiguration","AzureAD","Get-MgDeviceManagementDeviceConfiguration","Microsoft.Graph.DeviceManagement","DeviceManagementConfiguration.Read.All;DeviceManagementConfiguration.ReadWrite.All","GET /deviceManagement/deviceConfigurations","True","False"
"Connect-AzureAD","AzureAD","Connect-MgGraph","Microsoft.Graph.Authentication","","","True","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All;Policy.ReadWrite.ConditionalAccess","PATCH /identity/conditionalAccess/namedLocations/{namedLocation-id}","True","False"
"Set-MsolGroup","MSOnline","Update-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","PATCH /groups/{group-id}","True","False"
"Get-AzureADApplicationLogo","AzureAD","Get-MgApplicationLogo","Microsoft.Graph.Applications","","GET /applications/{application-id}/logo","True","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All;Directory.ReadWrite.All","GET /devices","True","False"
"Revoke-AzureADSignedInUserAllRefreshToken","AzureAD","Invoke-MgInvalidateUserRefreshToken","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All;User.ReadWrite","POST /users/{user-id}/invalidateAllRefreshTokens","True","False"
"Update-MsolFederatedDomain","MSOnline","","","","","False","False"
"New-AzureADMSRoleAssignment","AzureAD","New-MgRoleManagementDirectoryRoleAssignment","Microsoft.Graph.DeviceManagement.Enrolment","EntitlementManagement.ReadWrite.All;RoleManagement.ReadWrite.Directory","POST /roleManagement/directory/roleAssignments","True","False"
"Set-MsolCompanyContactInformation","MSOnline","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;Organization.ReadWrite.All","PATCH /organization/{organization-id}","True","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","Microsoft.Graph.DeviceManagement.Enrolment","RoleAssignmentSchedule.Read.Directory;RoleAssignmentSchedule.ReadWrite.Directory;RoleManagement.Read.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /roleManagement/directory/roleAssignmentScheduleRequests","True","False"
"Remove-AzureADDeviceRegisteredUser","AzureAD","","","","","False","False"
"Remove-AzureADMSDeletedDirectoryObject","AzureAD","Remove-MgDirectoryObject","Microsoft.Graph.DirectoryObjects","Application.ReadWrite.All;Group.ReadWrite.All;User.ReadWrite.All","DELETE /directoryObjects/{directoryObject-id}","True","False"
"Remove-MsolForeignGroupFromRole","MSOnline","","","","","False","False"
"Connect-MsolService","MSOnline","Connect-MgGraph","Microsoft.Graph.Authentication","","","True","False"
"Get-AzureADMSAuthorizationPolicy","AzureAD","Get-MgPolicyAuthorizationPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All;Policy.ReadWrite.Authorization","GET /policies/authorizationPolicy","True","False"
"Set-AzureADApplicationProxyApplicationCustomDomainCertificate","AzureAD","","","","","False","False"
"Get-AzureADOAuth2PermissionGrant","AzureAD","Get-MgOauth2PermissionGrant","Microsoft.Graph.Identity.SignIns","DelegatedPermissionGrant.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /oauth2PermissionGrants","True","False"
"Get-AzureADUserExtension","AzureAD","Get-MgUserExtension","Microsoft.Graph.Users","","GET /users/{user-id}/extensions","True","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Application.Read.All;Policy.Read.All;Policy.ReadWrite.ConditionalAccess","PATCH /identity/conditionalAccess/policies/{conditionalAccessPolicy-id}","True","False"
"Set-AzureADUserThumbnailPhoto","AzureAD","Set-MgUserPhotoContent","Microsoft.Graph.Users","User.ReadWrite","PUT /users/{user-id}/photo/$value","True","False"
"Get-MsolPasswordPolicy","MSOnline","Get-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Domain.Read.All;Domain.ReadWrite.All","GET /domains","True","False"
"Remove-AzureADUserManager","AzureAD","Remove-MgUserManagerByRef","Microsoft.Graph.Users","","DELETE /users/{user-id}/manager/$ref","True","False"
"Set-MsolADFSContext","MSOnline","","","","","False","False"
"Disconnect-AzureAD","AzureAD","Disconnect-MgGraph","Microsoft.Graph.Authentication","","","True","False"
"New-AzureADTrustedCertificateAuthority","AzureAD","","","","","False","False"
"Remove-AzureADMSApplicationPassword","AzureAD","Remove-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/removePassword","True","False"
"Remove-AzureADApplicationExtensionProperty","AzureAD","Remove-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.ReadWrite.All","DELETE /applications/{application-id}/extensionProperties/{extensionProperty-id}","True","False"
"Get-AzureADTenantDetail","AzureAD","Get-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.Read.All;DeviceManagementConfiguration.ReadWrite.All;DeviceManagementServiceConfig.Read.All;DeviceManagementServiceConfig.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All;Organization.Read.All;Organization.ReadWrite.All;User.Read","GET /organization","True","False"
"Get-AzureADDomainServiceConfigurationRecord","AzureAD","Get-MgDomainServiceConfigurationRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All;Domain.ReadWrite.All","GET /domains/{domain-id}/serviceConfigurationRecords","True","False"
"Get-AzureADContactThumbnailPhoto","AzureAD","","","","","False","False"
"Remove-AzureADMSApplicationOwner","AzureAD","Remove-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","DELETE /applications/{application-id}/owners/{directoryObject-id}/$ref","True","False"
"Get-AzureADMSRoleAssignment","AzureAD","Get-MgRoleManagementDirectoryRoleAssignment","Microsoft.Graph.DeviceManagement.Enrolment","Directory.Read.All;Directory.ReadWrite.All;EntitlementManagement.Read.All;EntitlementManagement.ReadWrite.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /roleManagement/directory/roleAssignments","True","False"
"Set-AzureADMSRoleDefinition","AzureAD","Update-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","RoleManagement.ReadWrite.Directory","PATCH /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}","True","False"
"New-AzureADMSGroup","AzureAD","New-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","POST /groups","True","False"
"Convert-MsolDomainToFederated","MSOnline","New-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains/{domain-id}/federationConfiguration","True","False"
"Remove-MsolAdministrativeUnitMember","MSOnline","Remove-MgDirectoryAdministrativeUnitScopedRoleMember","Microsoft.Graph.Identity.DirectoryManagement","","DELETE /directory/administrativeUnits/{administrativeUnit-id}/scopedRoleMembers/{scopedRoleMembership-id}","True","False"
"New-MsolFederatedDomain","MSOnline","","","","","False","False"
"Get-MsolDirSyncConfiguration","MSOnline","Get-MgDirectoryOnPremisSynchronization","Microsoft.Graph.Identity.DirectoryManagement","","GET /directory/onPremisesSynchronization/{onPremisesDirectorySynchronization-id}","True","False"
"New-AzureADServiceAppRoleAssignment","AzureAD","New-MgServicePrincipalAppRoleAssignment","Microsoft.Graph.Applications","Application.Read.All;AppRoleAssignment.ReadWrite.All;Directory.Read.All","POST /servicePrincipals/{servicePrincipal-id}/appRoleAssignments","True","False"
"New-MsolServicePrincipal","MSOnline","New-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /servicePrincipals","True","False"
"New-AzureADMSApplicationKey","AzureAD","Add-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /applications/{application-id}/addKey","True","False"
"Get-AzureADApplicationProxyApplicationConnectorGroup","AzureAD","","","","","False","False"
"Confirm-MsolDomain","MSOnline","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains/{domain-id}/verify","True","False"
"Get-AzureADSubscribedSku","AzureAD","Get-MgSubscribedSku","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;Organization.Read.All;Organization.ReadWrite.All","GET /subscribedSkus","True","False"
"Get-AzureADServicePrincipalOwnedObject","AzureAD","Get-MgServicePrincipalOwnedObject","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/ownedObjects","True","False"
"Remove-MsolAdministrativeUnit","MSOnline","Remove-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","DELETE /directory/administrativeUnits/{administrativeUnit-id}","True","False"
"Set-AzureADUserExtension","AzureAD","Update-MgUserExtension","Microsoft.Graph.Users","","PATCH /users/{user-id}/extensions/{extension-id}","True","False"
"Remove-AzureADDeviceRegisteredOwner","AzureAD","Remove-MgDeviceRegisteredOwnerByRef","Microsoft.Graph.Identity.DirectoryManagement","Directory.AccessAsUser.All","DELETE /devices/{device-id}/registeredOwners/{directoryObject-id}/$ref","True","False"
"Get-MsolAdministrativeUnitMember","MSOnline","Get-MgDirectoryAdministrativeUnitMember","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All;AdministrativeUnit.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /directory/administrativeUnits/{administrativeUnit-id}/members","True","False"
"Set-AzureADServicePrincipal","AzureAD","Update-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","PATCH /servicePrincipals/{servicePrincipal-id}","True","False"
"Set-AzureADMSIdentityProvider","AzureAD","Update-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.ReadWrite.All","PATCH /identity/identityProviders/{identityProviderBase-id}","True","False"
"New-AzureADApplication","AzureAD","New-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications","True","False"
"New-AzureADMSNamedLocationPolicy","AzureAD","New-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All;Policy.ReadWrite.ConditionalAccess","POST /identity/conditionalAccess/namedLocations","True","False"
"Get-AzureADServicePrincipalCreatedObject","AzureAD","Get-MgServicePrincipalCreatedObject","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals/{servicePrincipal-id}/createdObjects","True","False"
"Get-AzureADContactManager","AzureAD","Get-MgContactManager","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Group.Read.All;OrgContact.Read.All","GET /contacts/{orgContact-id}/manager","True","False"
"Get-MsolDirSyncProvisioningError","MSOnline","","","","","False","False"
"Get-AzureADMSApplicationOwner","AzureAD","Get-MgApplicationOwner","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /applications/{application-id}/owners","True","False"
"Set-MsolUser","MSOnline","Update-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All;DeviceManagementConfiguration.ReadWrite.All;DeviceManagementManagedDevices.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;Directory.ReadWrite.All;User.ManageIdentities.All;User.ReadWrite;User.ReadWrite.All","PATCH /users/{user-id}","True","False"
"Set-AzureADDevice","AzureAD","Update-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Directory.AccessAsUser.All","PATCH /devices/{device-id}","True","False"
"New-AzureADMSGroupLifecyclePolicy","AzureAD","New-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","POST /groupLifecyclePolicies","True","False"
"Set-AzureADApplicationProxyApplication","AzureAD","","","","","False","False"
"Set-MsolUserPassword","MSOnline","Reset-MgUserAuthenticationMethodPassword","Microsoft.Graph.Users.Actions","UserAuthenticationMethod.ReadWrite.All","POST /users/{user-id}/authentication/methods/{authenticationMethod-id}/resetPassword","True","False"
"Get-AzureADDirectoryRoleTemplate","AzureAD","Get-MgDirectoryRoleTemplate","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /directoryRoleTemplates","True","False"
"Remove-AzureADMSApplicationVerifiedPublisher","AzureAD","Clear-MgApplicationVerifiedPublisher","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/unsetVerifiedPublisher","True","False"
"Set-AzureADMSPermissionGrantConditionSet","AzureAD","Update-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns","","PATCH /policies/permissionGrantPolicies/{permissionGrantPolicy-id}/excludes/{permissionGrantConditionSet-id}","True","False"
"Remove-AzureADOAuth2PermissionGrant","AzureAD","Remove-MgOauth2PermissionGrant","Microsoft.Graph.Identity.SignIns","DelegatedPermissionGrant.ReadWrite.All;Directory.ReadWrite.All","DELETE /oauth2PermissionGrants/{oAuth2PermissionGrant-id}","True","False"
"Remove-AzureADGroupMember","AzureAD","Remove-MgGroupMemberByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All;GroupMember.ReadWrite.All","DELETE /groups/{group-id}/members/{directoryObject-id}/$ref","True","False"
"Get-AzureADApplicationProxyConnectorGroupMember","AzureAD","","","","","False","False"
"Get-AzureADObjectByObjectId","AzureAD","Get-MgDirectoryObjectById","Microsoft.Graph.DirectoryObjects","","POST /directoryObjects/getByIds","True","False"
"Get-AzureADApplication","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All","GET /applications","True","False"
"Disable-MsolDevice","MSOnline","Update-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Directory.AccessAsUser.All","PATCH /devices/{device-id}","True","False"
"Get-AzureADApplicationProxyConnectorMemberOf","AzureAD","","","","","False","False"
"Get-CrossCloudVerificationCode","AzureAD","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains/{domain-id}/verify","True","False"
"Set-MsolDomainAuthentication","MSOnline","New-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains/{domain-id}/federationConfiguration","True","False"
"Remove-AzureADUserExtension","AzureAD","Remove-MgUserExtension","Microsoft.Graph.Users","","DELETE /users/{user-id}/extensions/{extension-id}","True","False"
"Add-MsolGroupMember","MSOnline","New-MgGroupMember","Microsoft.Graph.Groups","","","True","False"
"New-AzureADApplicationProxyApplication","AzureAD","","","","","False","False"
"Get-MsolRoleMember","MSOnline","Get-MgDirectoryRoleMember","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;RoleManagement.Read.Directory;RoleManagement.ReadWrite.Directory","GET /directoryRoles/{directoryRole-id}/members","True","False"
