"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Get-AzureADUserMembership","AzureAD","Get-MgUserMemberOf","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;GroupMember.Read.All;User.Read","GET /users/{user-id}/memberOf","True","False"
"Remove-AzureADMSLifecyclePolicyGroup","AzureAD","Remove-MgGroupFromLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","POST /groupLifecyclePolicies/{groupLifecyclePolicy-id}/removeGroup","True","False"
"Get-AzureADContactMembership","AzureAD","Get-MgContactMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All","GET /contacts/{orgContact-id}/memberOf","True","False"
"Get-MsolFederationProperty","MSOnline","","","","","False","False"
"Get-AzureADMSApplicationExtensionProperty","AzureAD","Get-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All","GET /applications/{application-id}/extensionProperties","True","False"
"Remove-AzureADServicePrincipalKeyCredential","AzureAD","Remove-MgServicePrincipalKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /servicePrincipals/{servicePrincipal-id}/removeKey","True","False"
"Remove-MsolApplicationPassword","MSOnline","Remove-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/removePassword","True","False"
"Get-AzureADUserThumbnailPhoto","AzureAD","Get-MgUserPhoto","Microsoft.Graph.Users","User.Read","GET /users/{user-id}/photos","True","False"
"Set-AzureADGroup","AzureAD","Update-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","PATCH /groups/{group-id}","True","False"
"Get-MsolServicePrincipal","MSOnline","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals","True","False"
"Get-AzureADMSApplication","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All","GET /applications","True","False"
"Get-MsolAdministrativeUnit","MSOnline","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All;AdministrativeUnit.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /directory/administrativeUnits","True","False"
"Get-AzureADMSScopedRoleMembership","AzureAD","Get-MgUserScopedRoleMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All","GET /users/{user-id}/scopedRoleMemberOf","True","False"
"New-AzureADMSApplicationExtensionProperty","AzureAD","New-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/extensionProperties","True","False"
"Add-MsolForeignGroupToRole","MSOnline","","","","","False","False"
"Add-AzureADMSAdministrativeUnitMember","AzureAD","New-MgDirectoryAdministrativeUnitMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","","POST /directory/administrativeUnits/{administrativeUnit-id}/members/$ref","True","False"
"Remove-MsolServicePrincipalCredential","MSOnline","Remove-MgServicePrincipalKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /servicePrincipals/{servicePrincipal-id}/removeKey","True","False"
"Get-AzureADContract","AzureAD","Get-MgContract","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All","GET /contracts","True","False"
"Get-AzureADGroupMember","AzureAD","Get-MgGroupMember","Microsoft.Graph.Groups","Directory.Read.All;Group.Read.All;Group.ReadWrite.All;GroupMember.Read.All;GroupMember.ReadWrite.All","GET /groups/{group-id}/members","True","False"
