"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","IdentifierUris","IdentifierUris","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","DisplayName","DisplayName","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","InformationalUrl","","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","KeyCredentials","KeyCredentials","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","OptionalClaims","OptionalClaims","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","ParentalControlSettings","ParentalControlSettings","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","PasswordCredentials","PasswordCredentials","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","PublicClient","PublicClient","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","RequiredResourceAccess","RequiredResourceAccess","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","SignInAudience","SignInAudience","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","Tags","Tags","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","TokenEncryptionKeyId","TokenEncryptionKeyId","","","False","False"
"New-AzureADMSApplication","AzureAD","New-MgApplication","","Web","Web","","","False","False"
"Get-AzureADGroup","AzureAD","Get-MgGroup","","SearchString","","","","False","False"
"Get-AzureADGroup","AzureAD","Get-MgGroup","","ObjectId","","","","False","False"
"Get-AzureADGroup","AzureAD","Get-MgGroup","","All","All","","","False","False"
"Get-AzureADGroup","AzureAD","Get-MgGroup","","Top","Top","","","False","False"
"Get-AzureADGroup","AzureAD","Get-MgGroup","","Filter","Filter","","","False","False"
"Remove-AzureADMSAdministrativeUnit","AzureAD","Remove-MgDirectoryAdministrativeUnit","","Id","","","","False","False"
"Get-MsolPartnerContract","MSOnline","Get-MgContract","","DomainName","","","","False","False"
"Get-MsolPartnerContract","MSOnline","Get-MgContract","","SearchKey","","","","False","False"
"Get-MsolPartnerContract","MSOnline","Get-MgContract","","MaxResults","","","","False","False"
"Get-MsolPartnerContract","MSOnline","Get-MgContract","","All","All","","","False","False"
"Get-MsolPartnerContract","MSOnline","Get-MgContract","","TenantId","","","","False","False"
"Get-AzureADMSGroupPermissionGrant","AzureAD","Get-MgGroupPermissionGrant","","Id","","","","False","False"
"Get-AzureADUserOwnedObject","AzureAD","Get-MgUserOwnedObject","","ObjectId","","","","False","False"
"Get-AzureADUserOwnedObject","AzureAD","Get-MgUserOwnedObject","","All","All","","","False","False"
"Get-AzureADUserOwnedObject","AzureAD","Get-MgUserOwnedObject","","Top","Top","","","False","False"
"Set-AzureADMSGroupLifecyclePolicy","AzureAD","Update-MgGroupLifecyclePolicy","","Id","Id","","","False","False"
"Set-AzureADMSGroupLifecyclePolicy","AzureAD","Update-MgGroupLifecyclePolicy","","GroupLifetimeInDays","GroupLifetimeInDays","","","False","False"
"Set-AzureADMSGroupLifecyclePolicy","AzureAD","Update-MgGroupLifecyclePolicy","","ManagedGroupTypes","ManagedGroupTypes","","","False","False"
"Set-AzureADMSGroupLifecyclePolicy","AzureAD","Update-MgGroupLifecyclePolicy","","AlternateNotificationEmails","AlternateNotificationEmails","","","False","False"
"Get-AzureADServiceAppRoleAssignment","AzureAD","Get-MgServicePrincipalAppRoleAssignment","","ObjectId","","","","False","False"
"Get-AzureADServiceAppRoleAssignment","AzureAD","Get-MgServicePrincipalAppRoleAssignment","","All","All","","","False","False"
